f(x),orientation,winE,winW,transmitance,Cálculo Gráfico,,
"132,979388","70,74","5,848","5,868","0,2803","132,959035",,
"133,012734","71,52","5,9","5,885","0,2785","132,959035",,
"133,003338","71,2","5,898","5,895","0,2785","132,959035",,
"133,003456","71,05","5,9","5,894","0,2784","132,959035",,
"132,998592","71,04","5,896","5,9","0,2785","132,959035",,
"140,870847","86,68","5,324","3,556","0,7931","132,959035",,
"137,425574","87,66","5,864","5,106","0,7846","132,959035",,
"134,832914","71,65","4,28","5,7","0,4027","132,959035",,
"133,16096","72,36","5,888","5,886","0,2824","132,959035",,
"133,060593","71,13","5,898","5,802","0,2954","132,959035",,
"133,236527","69,36","5,886","5,812","0,2973","132,959035",,
"139,785623","83,49","3,972","4,507","0,7759","132,959035",,
"136,8241","58,61","5,795","5,858","0,6308","132,959035",,
"141,512758","27,87","4,65","4,158","0,6831","132,959035",,
"132,978766","70,69","5,851","5,893","0,2775","132,959035",,
"133,034206","71,44","5,893","5,847","0,2779","132,959035",,
"133,044121","70,44","5,896","5,764","0,2853","132,959035",,
"218,101979","-141,57","0,367","1,179","0,7952","132,959035",,
"140,217341","76,3","5,819","3,183","0,6433","132,959035",,
"135,570396","59,89","5,594","4,946","0,5397","132,959035",,
"133,030655","70,47","5,875","5,793","0,2855","132,959035",,
"133,023775","70,87","5,891","5,782","0,2885","132,959035",,
"133,210119","70,24","5,828","5,884","0,2788","132,959035",,
"132,998681","71,41","5,9","5,9","0,2784","132,959035",,
"132,998311","71,06","5,9","5,9","0,2782","132,959035",,
"132,99604","71,33","5,9","5,9","0,2788","132,959035",,
"151,874584","27,87","3,952","2,859","0,2913","132,959035",,
"141,567257","-121,57","3,625","4,362","0,4109","132,959035",,
"138,327178","-38,31","5,897","5,282","0,2043","132,959035",,
"133,041734","71,51","5,891","5,821","0,2844","132,959035",,
"133,299429","69,02","5,898","5,74","0,3207","132,959035",,
"133,143744","72,76","5,891","5,807","0,2949","132,959035",,
"132,975569","70,72","5,9","5,877","0,2784","132,959035",,
"133,186537","70,32","5,89","5,9","0,2784","132,959035",,
"132,960835","70,73","5,899","5,9","0,2784","132,959035",,
"203,788717","165,37","0,175","2,54","0,7278","132,959035",,
"136,097962","-69,87","5,187","5,269","0,2043","132,959035",,
"174,224529","-178,54","5,868","0,136","0,2012","132,959035",,
"146,830606","-179,71","5,898","5,874","0,7468","132,959035",,
"139,757072","-175,8","5,844","5,893","0,4284","132,959035",,
"134,902201","-92,01","5,558","5,899","0,2297","132,959035",,
"139,371713","-32,91","4,612","5,899","0,2049","132,959035",,
"138,534498",180,"5,9","5,157","0,383","132,959035",,
"170,907082","173,26","5,89","0,13","0,7896","132,959035",,
"142,734286","5,11","5,895","4,716","0,5953","132,959035",,
"168,93672","161,97","5,782","0,503","0,2005","132,959035",,
"138,19921","-32,86","5,898","5,89","0,2017","132,959035",,
"135,175509","-121,88","5,869","5,899","0,2151","132,959035",,
"135,082186","-100,91","5,559","5,9","0,2337","132,959035",,
"167,548186","-176,14","0,114","5,886","0,3187","132,959035",,
"135,611603","45,05","5,889","5,863","0,4098","132,959035",,
"135,091827","107,42","5,854","5,892","0,217","132,959035",,
"136,120719","-47,15","5,9","5,891","0,3264","132,959035",,
"135,022804","-97,7","5,793","5,897","0,2344","132,959035",,
"134,898078","-91,25","5,577","5,9","0,2304","132,959035",,
"134,278692","-86,53","5,582","5,738","0,2208","132,959035",,
"135,352941","-78,94","5,587","5,383","0,2061","132,959035",,
"134,608687","-82,73","5,584","5,561","0,2134","132,959035",,
"134,748072","-87,71","5,624","5,77","0,2121","132,959035",,
"134,682735","-84,04","5,559","5,757","0,22","132,959035",,
"160,500469","164,92","1,473","5,816","0,2158","132,959035",,
"142,257255","29,7","5,9","2,927","0,3113","132,959035",,
"138,302876","15,33","5,894","4,534","0,3151","132,959035",,
"135,649555","-99,75","5,647","5,441","0,24","132,959035",,
"135,102358","-91,85","5,574","5,687","0,224","132,959035",,
"133,884711","-76,97","5,85","5,528","0,2347","132,959035",,
"147,843334","167,13","5,867","5,731","0,7995","132,959035",,
"139,158195","-77,14","3,277","5,895","0,4909","132,959035",,
"137,427608","52,77","3,561","5,896","0,3797","132,959035",,
"134,238592","-80,24","5,821","5,599","0,2325","132,959035",,
"136,806823","-52,97","4,895","4,572","0,3322","132,959035",,
"172,018637","-3,79","0,1","5,9","0,3152","132,959035",,
"170,466924","-165,91","5,81","0,436","0,7974","132,959035",,
"139,222389","135,47","4,566","5,825","0,5837","132,959035",,
"141,535122","-12,94","4,577","5,88","0,4669","132,959035",,
"133,600081","-73,57","5,899","5,461","0,2414","132,959035",,
"141,71352","-14,59","4,944","4,517","0,2004","132,959035",,
"158,028947","-154,93","5,9","1,495","0,4665","132,959035",,
"135,714371","-55,42","5,857","5,608","0,2391","132,959035",,
"133,598984","-73,61","5,9","5,459","0,2414","132,959035",,
"133,943979","-74,74","5,847","5,403","0,2436","132,959035",,
"133,605205","-73,4","5,9","5,461","0,2413","132,959035",,
"133,600005","-73,59","5,9","5,461","0,2415","132,959035",,
"146,749106","-28,81","3,797","5,884","0,7972","132,959035",,
"134,58988","117,14","4,833","5,851","0,357","132,959035",,
"135,993921","110,69","5,895","5,846","0,5186","132,959035",,
"133,886436","-74,4","5,892","5,458","0,2425","132,959035",,
"133,744097","-72,89","5,898","5,448","0,235","132,959035",,
"134,017973","-71,97","5,9","5,499","0,2397","132,959035",,
"140,171243","-178,76","3,304","5,868","0,284","132,959035",,
"146,419374","162,5","5,826","2,827","0,602","132,959035",,
"137,712534","93,4","5,044","4,016","0,4575","132,959035",,
"133,878338","-75,54","5,897","5,434","0,2376","132,959035",,
"134,410737","-64,23","5,546","5,11","0,2543","132,959035",,
"134,343472","-71,14","5,753","5,323","0,2388","132,959035",,
"141,607985","-144,23","4,492","3,744","0,608","132,959035",,
"137,832","-143,39","4,379","4,897","0,4386","132,959035",,
"134,750546","44,82","5,166","5,851","0,2861","132,959035",,
"134,047724","-74,58","5,856","5,454","0,2335","132,959035",,
"133,980569","-72,39","5,896","5,445","0,2415","132,959035",,
"133,589217","-73,7","5,9","5,465","0,2408","132,959035",,
"133,869233","-75,02","5,897","5,469","0,24","132,959035",,
"133,905311","-74,36","5,899","5,467","0,2404","132,959035",,
"133,755901","-74,03","5,899","5,466","0,2406","132,959035",,
"136,295658","-104,27","5,345","5,636","0,5917","132,959035",,
"136,545237","-101,3","4,306","5,833","0,3233","132,959035",,
"134,990847","-90,3","5,885","4,965","0,4459","132,959035",,
"133,967182","-76,3","5,788","5,434","0,2441","132,959035",,
"133,852173","-75,24","5,892","5,475","0,2405","132,959035",,
"133,896175","-75,87","5,845","5,466","0,2442","132,959035",,
"145,682035","159,39","4,443","3,622","0,2072","132,959035",,
"135,464093","103,33","5,73","4,822","0,3246","132,959035",,
"134,881064","93,64","5,3","5,16","0,4349","132,959035",,
"133,853844","-75,53","5,812","5,461","0,244","132,959035",,
"133,941709","-74,78","5,872","5,474","0,238","132,959035",,
"133,900828","-76,02","5,832","5,485","0,2429","132,959035",,
"141,537005","-179,79","5,807","3,331","0,2933","132,959035",,
"137,01804","-164,8","5,53","4,733","0,3281","132,959035",,
"134,733744","110,42","5,767","5,828","0,3871","132,959035",,
"134,730838","-95,27","5,766","5,221","0,3392","132,959035",,
"133,603994","-73,5","5,883","5,48","0,2416","132,959035",,
"133,682852","-74,29","5,855","5,492","0,2393","132,959035",,
"133,755565","-73,84","5,9","5,476","0,2419","132,959035",,
"133,582304","-73,77","5,9","5,47","0,2413","132,959035",,
"133,610021","-73,44","5,9","5,466","0,2407","132,959035",,
"145,341167","27,85","5,894","5,851","0,7977","132,959035",,
"140,111552","-2,03","5,265","4,3","0,4577","132,959035",,
"135,923157","-93,68","4,801","5,782","0,4619","132,959035",,
"133,772808","-75,46","5,823","5,472","0,2513","132,959035",,
"135,881194","-133,02","5,508","4,79","0,3317","132,959035",,
"135,662861","-107,38","5,54","4,911","0,2835","132,959035",,
"145,049791","-177,42","3,111","5,764","0,7029","132,959035",,
"136,981131","69,77","4,283","4,707","0,3196","132,959035",,
"133,685192","75,92","5,296","5,44","0,3517","132,959035",,
"133,626221","-73,34","5,845","5,449","0,2469","132,959035",,
"134,384415","-60,42","5,275","5,554","0,3037","132,959035",,
"133,803205","-68,55","5,624","5,453","0,2612","132,959035",,
"140,777232","-170,43","4,032","5,86","0,5619","132,959035",,
"136,99581","-169,78","4,708","5,528","0,232","132,959035",,
"135,871445","-101,78","4,91","5,087","0,3891","132,959035",,
"134,173047","-79,25","5,557","5,391","0,3025","132,959035",,
"134,91496","-80,42","5,897","5,39","0,2008","132,959035",,
"134,068231","-71,33","5,77","5,465","0,2494","132,959035",,
"133,767336","-73,84","5,9","5,473","0,241","132,959035",,
"139,840383","-46,62","4,094","4,651","0,5927","132,959035",,
"141,616876","-175,81","5,9","4,538","0,5373","132,959035",,
"134,445064","98,84","5,098","5,68","0,2734","132,959035",,
"133,823237","-75,24","5,661","5,387","0,2815","132,959035",,
"133,842807","-68,56","5,51","5,392","0,2731","132,959035",,
"134,023207","-72,04","5,843","5,491","0,2422","132,959035",,
"195,388748","-168,22","2,02","1,994","0,2021","132,959035",,
"136,045994","-152,15","5,317","5,891","0,3219","132,959035",,
"139,200088","-1,82","5,191","5,288","0,3773","132,959035",,
"133,835008","-74,99","5,75","5,404","0,2661","132,959035",,
"134,164828","-70,77","5,641","5,354","0,2672","132,959035",,
"133,574257","82,77","5,324","5,663","0,3354","132,959035",,
"146,714037","-23,83","5,83","2,446","0,7983","132,959035",,
"137,425717","-73,65","5,427","4,447","0,7764","132,959035",,
"139,387732","160,18","5,039","5,875","0,4671","132,959035",,
"133,592002","90,75","5,637","5,893","0,2991","132,959035",,
"133,386946","81,22","5,523","5,861","0,3232","132,959035",,
"133,416533","79,3","5,564","5,9","0,3233","132,959035",,
"133,892256","93,53","5,64","5,89","0,3436","132,959035",,
"133,391205","81,63","5,487","5,9","0,3228","132,959035",,
"133,521985","77,94","5,485","5,829","0,3209","132,959035",,
"133,285825","82,6","5,527","5,862","0,3264","132,959035",,
"133,511346","85,04","5,534","5,864","0,3331","132,959035",,
"140,760341","80,48","4,338","3,833","0,7574","132,959035",,
"138,454222","109,59","5,605","4,467","0,6461","132,959035",,
"137,773533","52,27","4,313","4,958","0,6251","132,959035",,
"133,913344","92,48","5,361","5,766","0,3164","132,959035",,
"133,271115","82,63","5,539","5,884","0,3269","132,959035",,
"133,525443","89,03","5,864","5,884","0,3094","132,959035",,
"144,292988","18,53","5,02","2,775","0,609","132,959035",,
"136,168206","-80,11","5,543","4,213","0,5797","132,959035",,
"137,531587","175,08","5,504","5,864","0,2803","132,959035",,
"133,514203","83,43","5,704","5,896","0,3131","132,959035",,
"133,364974","81,97","5,529","5,89","0,3269","132,959035",,
"133,596892","86,21","5,583","5,887","0,3232","132,959035",,
"140,014799","-81,22","5,886","3,031","0,4364","132,959035",,
"143,274399","5,52","4,951","4,045","0,6915","132,959035",,
"135,408466","74,54","4,19","5,859","0,4974","132,959035",,
"133,281607","82,54","5,532","5,864","0,327","132,959035",,
"133,149325","76,02","5,852","5,896","0,2845","132,959035",,
"133,450542","79,53","5,648","5,893","0,2807","132,959035",,
"133,147827","76,02","5,852","5,9","0,2845","132,959035",,
"133,232678","74,56","5,865","5,9","0,2845","132,959035",,
"133,420515",79,"5,888","5,895","0,2787","132,959035",,
"133,172359","77,07","5,856","5,899","0,2883","132,959035",,
"133,154398","75,99","5,832","5,899","0,2845","132,959035",,
"139,252551","-121,64","4,282","5,04","0,6842","132,959035",,
"135,391498","59,23","5,601","4,823","0,2165","132,959035",,
"134,391237","57,51","4,583","5,882","0,4039","132,959035",,
"133,178676","75,83","5,754","5,9","0,2937","132,959035",,
"133,424462","78,78","5,808","5,862","0,2887","132,959035",,
"133,201306","76,82","5,848","5,89","0,2828","132,959035",,
"142,363319","176,93","3,587","5,728","0,2058","132,959035",,
"137,496821","174,96","5,843","4,485","0,2007","132,959035",,
"136,539624","-118,85","5,129","4,899","0,5127","132,959035",,
"133,071056","73,88","5,836","5,89","0,2931","132,959035",,
"133,016531","70,41","5,841","5,874","0,3076","132,959035",,
"133,005006","71,71","5,834","5,9","0,3036","132,959035",,
"141,745249","179,62","3,497","4,617","0,4038","132,959035",,
"137,829114","130,72","4,254","5,081","0,4302","132,959035",,
"137,813446","157,9","4,663","4,739","0,3002","132,959035",,
"133,078811","72,99","5,841","5,892","0,299","132,959035",,
"133,240891","66,58","5,787","5,893","0,308","132,959035",,
"133,093586","73,67","5,9","5,9","0,3174","132,959035",,
"133,27563","74,47","5,778","5,875","0,3054","132,959035",,
"132,987553","72,08","5,862","5,9","0,305","132,959035",,
"133,005197","71,3","5,868","5,9","0,305","132,959035",,
"133,153028","72,33","5,86","5,9","0,3056","132,959035",,
"142,020571","-28,75","5,896","5,898","0,5264","132,959035",,
"140,608493","169,01","5,705","4,637","0,5267","132,959035",,
"134,677447","73,06","4,433","5,618","0,3155","132,959035",,
"133,220038","69,7","5,842","5,878","0,3025","132,959035",,
"133,208433","71,72","5,895","5,631","0,3444","132,959035",,
"133,109189","71,04","5,9","5,802","0,3287","132,959035",,
"141,038125","163,07","5,894","3,308","0,3664","132,959035",,
"135,427097","-63,53","5,887","3,95","0,3612","132,959035",,
"136,609211","32,96","5,887","5,771","0,2065","132,959035",,
"133,053099","70,79","5,885","5,792","0,316","132,959035",,
"133,456925","81,83","5,898","5,857","0,3441","132,959035",,
"133,268605","69,35","5,792","5,83","0,3146","132,959035",,
"142,352783","-12,34","3,486","4,575","0,4146","132,959035",,
"136,231708","95,49","4,959","4,858","0,5434","132,959035",,
"135,779217","125,87","5,756","5,092","0,2413","132,959035",,
"133,165295","72,71","5,898","5,842","0,3166","132,959035",,
"133,134862","72,56","5,89","5,889","0,3026","132,959035",,
"133,004872","71,89","5,86","5,9","0,3031","132,959035",,
