f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"133,174341","75,31","5,602","5,896","0,3044","132,95047"
"133,189568","72,39","5,637","5,894","0,3066","132,95047"
"133,201191","70,15","5,615","5,864","0,3071","132,95047"
"151,666659","-114,11","2,128","5,065","0,3617","132,95047"
"139,563282","39,32","5,684","3,429","0,2931","132,95047"
"136,318399","-131,36","4,725","5,345","0,3481","132,95047"
"133,070976","73,35","5,607","5,877","0,3083","132,95047"
"133,072717","73,18","5,574","5,894","0,3083","132,95047"
"133,047042","74,13","5,586","5,888","0,3134","132,95047"
"158,174023","173,88","3,543","2,721","0,3319","132,95047"
"135,885515","-92,42","5,756","5,892","0,589","132,95047"
"136,857429","45,89","5,814","3,929","0,4401","132,95047"
"133,039846",74,"5,602","5,88","0,311","132,95047"
"133,104074","72,65","5,599","5,884","0,3107","132,95047"
"133,065277","73,47","5,588","5,88","0,3104","132,95047"
"133,180746","69,95","5,631","5,9","0,3089","132,95047"
"133,168744","70,26","5,622","5,9","0,309","132,95047"
"132,943386","70,78","5,609","5,9","0,3091","132,943386"
"158,052457","173,77","2,288","3,529","0,5556","132,943386"
"145,407176","-171,4","4,422","4,098","0,7979","132,943386"
"137,772816","-45,65","4,495","4,851","0,4251","132,943386"
"132,972528","70,79","5,6","5,865","0,3098","132,943386"
"133,116991","73,28","5,626","5,792","0,3164","132,943386"
"132,985781","71,09","5,611","5,9","0,3087","132,943386"
"143,857994","172,63","3,867","4,421","0,2052","132,943386"
"140,67017","-170,38","5,801","5,6","0,5113","132,943386"
"144,85067","-6,41","5,028","4,444","0,7458","132,943386"
"133,007947","72,25","5,589","5,839","0,3156","132,943386"
"132,976865","70,78","5,6","5,853","0,3123","132,943386"
"132,994315","71,31","5,61","5,856","0,3098","132,943386"
"152,360968","-57,48","4,395","2,04","0,6227","132,943386"
"141,952685","-74,76","3,379","4,162","0,5233","132,943386"
"138,736857","106,55","5,105","3,98","0,3298","132,943386"
