f(x),orientation,winE,winW,transmitance
139.068315,121.47,5.866,4.143,0.5504
133.11317,70.99,5.776,5.755,0.3233
133.772861,91.5,5.877,5.852,0.2647
133.072376,70.86,5.78,5.756,0.3208
137.925235,-113.45,5.634,4.877,0.7117
137.877368,-175.02,4.951,4.644,0.2615
135.063444,86.08,5.853,5.091,0.4886
133.09091,70.82,5.774,5.729,0.3222
133.162549,71.38,5.712,5.734,0.3265
133.189292,71.86,5.697,5.709,0.3309
144.23393,-9.63,4.706,2.969,0.5444
139.951066,91.2,3.235,5.202,0.5965
135.845286,-122.23,5.038,5.147,0.2938
133.085767,70.7,5.772,5.755,0.3241
133.240145,71.81,5.664,5.648,0.3277
133.398709,82.41,5.885,5.589,0.3068
133.321976,69.71,5.786,5.745,0.3199
133.301524,70.29,5.78,5.749,0.3201
133.104157,70.98,5.774,5.756,0.3201
142.758369,-49.6,3.892,4.21,0.7975
139.574487,-94.62,4.626,3.829,0.6168
135.971388,82.12,4.684,5.699,0.6599
133.095415,72.28,5.772,5.743,0.3196
133.246729,73.19,5.673,5.757,0.3337
133.112388,71.21,5.775,5.752,0.321
138.107952,178.19,5.602,3.985,0.3553
139.189015,36.22,3.6,4.815,0.4687
137.613902,171.82,4.971,5.137,0.3494
133.092101,70.77,5.785,5.737,0.3232
133.119197,68.62,5.833,5.865,0.3245
133.101346,67.92,5.878,5.897,0.3209
146.54458,-112.95,5.843,2.272,0.6256
144.239611,-31.45,3.233,4.654,0.6345
143.982606,13.25,5.662,5.83,0.6415
133.044596,72.11,5.853,5.86,0.3194
133.237739,69.71,5.839,5.847,0.3222
133.436903,78.62,5.9,5.9,0.3045
133.041061,71.71,5.795,5.898,0.3154
133.111512,73.56,5.856,5.887,0.3213
133.061019,71.55,5.866,5.87,0.3186
133.042077,72.05,5.846,5.864,0.3189
142.696794,-120.26,5.274,3.174,0.3248
138.669143,86.97,4.291,4.519,0.7095
136.235233,-114.36,5.406,4.506,0.4285
133.01937,72.15,5.826,5.883,0.3165
133.014764,70.66,5.772,5.894,0.3163
133.027223,70.41,5.783,5.9,0.3187
139.848354,-116.65,4.622,5.855,0.7964
139.883118,163.66,4.274,5.695,0.5025
136.052469,37.23,5.889,5.407,0.2013
133.041292,71.78,5.805,5.88,0.3156
133.016541,71.95,5.835,5.899,0.3176
132.999913,70.73,5.826,5.9,0.3171
143.260945,-17.76,4.262,3.484,0.3885
138.653569,112.15,5.398,3.969,0.2875
135.092119,98.9,4.998,5.456,0.5058
133.003129,70.62,5.845,5.895,0.3176
133.017484,70.44,5.83,5.893,0.3178
133.226159,69.81,5.802,5.898,0.3164
133.001854,70.72,5.826,5.9,0.317
132.999913,70.73,5.826,5.9,0.3171
133.042721,71.08,5.826,5.9,0.3173
145.225355,178.23,4.16,3.217,0.4942
141.024521,98.91,4.858,3.372,0.481
135.597723,-71.92,5.68,4.105,0.3432
133.031002,71.88,5.78,5.896,0.3165
133.012862,70.67,5.762,5.897,0.3177
133.040101,71.5,5.849,5.892,0.3168
144.851588,-167.77,3.104,5.777,0.208
141.055296,177.57,5.864,5.193,0.5151
134.957529,-117.12,5.363,5.894,0.3716
133.176404,72.33,5.812,5.899,0.3203
133.003401,70.59,5.842,5.899,0.3174
133.052805,71.42,5.859,5.875,0.3205
145.333812,26.89,2.432,5.837,0.5186
142.737573,-99.26,4.375,3.447,0.465
134.16411,70.49,4.487,5.84,0.3712
133.031185,71.79,5.832,5.886,0.3178
133.010858,70.86,5.768,5.889,0.3216
133.051761,71.63,5.762,5.896,0.3197
133.219933,70.09,5.805,5.898,0.3171
133.018162,70.41,5.816,5.899,0.3171
133.00489,70.57,5.821,5.899,0.3171
144.636824,-160.62,4.7,4.013,0.7919
136.233019,-93.0,5.28,4.997,0.6104
136.846221,-135.79,5.698,4.698,0.2333
133.051166,71.5,5.766,5.874,0.318
133.166193,72.84,5.758,5.878,0.3228
133.026284,70.61,5.764,5.886,0.3213
166.072873,150.93,5.883,0.181,0.6371
138.871758,98.32,3.339,5.85,0.3758
135.977549,38.37,5.075,5.852,0.2625
133.049636,71.51,5.841,5.881,0.3169
133.015321,72.23,5.816,5.889,0.3147
133.006518,72.05,5.817,5.896,0.3148
140.949788,-135.87,3.397,5.482,0.5709
136.520478,29.96,5.254,4.945,0.3215
136.901742,-52.74,5.176,4.558,0.451
133.115535,73.16,5.827,5.88,0.3152
133.012795,70.61,5.769,5.897,0.3192
133.011538,72.26,5.817,5.89,0.3154
133.222356,69.69,5.837,5.891,0.3179
133.215232,70.21,5.832,5.895,0.3175
133.014428,70.47,5.829,5.897,0.3173
143.280865,-38.99,3.252,4.617,0.3624
141.49422,13.29,5.201,3.929,0.5943
137.806021,111.77,5.876,3.923,0.4228
133.171074,72.56,5.864,5.886,0.3202
133.008754,70.8,5.763,5.896,0.3179
133.045937,71.18,5.755,5.898,0.3171
145.750026,135.84,5.807,3.52,0.7782
137.92774,85.39,4.319,4.37,0.4773
134.825331,-97.4,5.865,5.34,0.2809
133.023527,72.23,5.82,5.879,0.3171
133.042441,71.28,5.839,5.894,0.3176
133.050381,71.29,5.829,5.882,0.3171
141.649736,-177.06,3.336,4.884,0.3883
135.58946,-89.69,4.995,5.87,0.4709
135.316875,85.86,5.223,5.397,0.2133
133.172811,72.4,5.777,5.888,0.3187
133.016264,70.65,5.758,5.892,0.318
133.039033,71.7,5.817,5.894,0.3166
133.216131,70.16,5.805,5.899,0.317
133.009601,70.45,5.816,5.899,0.3171
133.000912,70.59,5.821,5.899,0.3171
141.530203,-62.83,4.033,4.632,0.2065
137.07905,-121.16,5.835,4.165,0.5458
135.114189,123.47,5.384,5.161,0.2856
133.250651,69.96,5.762,5.887,0.32
133.018523,70.76,5.846,5.887,0.3209
133.000179,70.73,5.828,5.894,0.318
142.619741,-12.87,5.898,3.627,0.2085
139.301704,139.0,3.971,4.722,0.3735
133.855384,71.79,5.243,5.895,0.4561
133.820366,78.86,5.174,5.864,0.3916
133.035068,70.82,5.847,5.894,0.327
132.994939,70.8,5.848,5.9,0.3178
167.134243,128.14,0.644,5.897,0.5512
137.095939,170.35,4.889,5.835,0.2598
136.911962,109.3,4.125,5.253,0.4543
133.049577,71.05,5.843,5.89,0.3194
133.042011,71.67,5.77,5.898,0.3162
133.248171,69.16,5.871,5.89,0.3251
133.228212,69.9,5.862,5.9,0.3184
133.20154,70.35,5.855,5.9,0.3181
132.997717,70.88,5.85,5.9,0.3173
142.643146,31.68,3.998,4.951,0.7975
136.725527,-131.48,5.895,5.178,0.4827
135.536616,-93.99,5.284,4.844,0.3603
133.060451,70.96,5.827,5.883,0.3246
133.151167,72.7,5.859,5.855,0.3199
133.048936,70.93,5.77,5.893,0.3183
133.023322,72.04,5.837,5.895,0.3179
133.041815,71.42,5.842,5.897,0.3179
133.03354,71.11,5.845,5.899,0.3178
139.370965,179.94,3.862,5.781,0.3607
209.945367,-176.37,1.828,0.466,0.778
170.398258,178.91,5.888,0.407,0.2009
173.883061,-0.65,0.102,5.89,0.2074
148.243293,176.66,5.854,5.899,0.7987
138.999159,179.78,4.14,5.889,0.3814
137.63875,179.93,5.088,5.896,0.283
138.196465,180.0,5.9,5.9,0.2993
137.030262,-179.0,5.865,5.898,0.2087
142.27967,-30.15,5.896,5.895,0.5454
139.255804,4.78,5.759,5.883,0.2225
135.31114,-119.93,5.898,5.898,0.2164
135.351669,-115.56,5.897,5.898,0.203
135.330473,-119.79,5.9,5.9,0.2139
172.21828,-176.0,5.855,0.41,0.2054
136.041408,112.27,5.788,5.662,0.5228
133.375569,74.58,5.777,5.886,0.3539
134.002503,91.59,5.887,5.9,0.3942
133.37571,74.96,5.793,5.897,0.3586
133.371589,74.52,5.78,5.9,0.3544
133.176229,71.46,5.538,5.9,0.3635
133.426742,66.4,5.777,5.898,0.3563
133.385295,76.24,5.729,5.9,0.3552
133.322773,75.61,5.8,5.9,0.353
133.531679,78.75,5.834,5.9,0.3507
167.777958,178.67,0.139,5.831,0.7974
140.604639,-53.86,3.205,5.884,0.3822
137.203301,-44.84,4.987,5.86,0.3698
133.244976,71.7,5.665,5.899,0.3663
133.31665,72.48,5.474,5.899,0.3735
133.391657,68.98,5.562,5.899,0.3624
140.653788,61.89,3.041,5.806,0.7213
138.632103,35.8,3.98,5.811,0.5225
135.393255,97.79,4.218,5.888,0.4208
133.556306,78.39,5.605,5.898,0.3751
133.244384,73.94,5.49,5.896,0.3631
133.272066,72.44,5.537,5.9,0.3642
164.645618,167.63,5.888,0.84,0.7867
142.290203,4.95,5.851,3.037,0.3812
138.751988,23.84,5.129,4.564,0.4602
133.224855,72.99,5.596,5.897,0.3628
133.189058,71.68,5.472,5.898,0.363
133.139568,72.11,5.468,5.9,0.3589
133.169973,71.57,5.47,5.832,0.3582
133.140274,72.1,5.468,5.9,0.3589
133.268631,72.45,5.452,5.899,0.359
133.137367,72.0,5.47,5.892,0.3588
146.588701,173.63,4.083,3.29,0.6499
140.102546,165.42,5.39,3.59,0.4
137.274161,133.33,5.107,4.894,0.4217
133.191046,70.99,5.482,5.868,0.3609
133.233014,73.12,5.516,5.891,0.3577
133.140988,71.96,5.479,5.897,0.3593
145.24463,-178.96,3.877,5.705,0.7957
140.505755,-179.18,5.869,5.892,0.4643
140.901029,148.08,4.091,5.865,0.6243
133.161934,71.63,5.491,5.873,0.3584
133.172598,71.46,5.497,5.9,0.361
133.176457,71.69,5.48,5.892,0.3609
144.646371,20.1,5.889,3.639,0.7802
143.282643,-46.58,5.071,5.834,0.7811
135.300151,72.66,5.828,4.254,0.3338
133.260089,73.02,5.535,5.84,0.3612
133.161285,71.73,5.466,5.891,0.3593
133.175972,71.1,5.503,5.892,0.3616
133.229245,73.39,5.473,5.886,0.3588
133.260436,72.7,5.471,5.889,0.3588
133.143003,71.94,5.475,5.893,0.359
138.615266,-100.68,3.876,5.895,0.595
